[0:15:33.237] [Main]全局初始化
[0:15:33.630] [Main]配置文件初始化完成
[0:15:35.184] [masc]Viewport3D初始化
[0:15:35.187] [Viewport3D]初始化完成
[0:15:35.370] [masc]物品列表json读取完成
[0:16:19.259] [masc]Viewport3D初始化
[0:16:19.265] [Viewport3D]初始化完成
[0:16:19.273] [masc]物品列表json读取完成
[0:16:21.422] [masp]粒子生成器初始化
[0:16:21.456] [masp]Viewport3D初始化
[0:16:21.459] [Viewport3D]初始化完成
[0:16:21.461] [masp]json读取完成
[0:16:25.934] [Main]正常关闭
